hf_id,hf_navn,helseregion,tjenesteomrade,metric,period,value,unit,source_id,quality
983974724,Helse Bergen HF,H03,TOT,dognplasser,2015,1366,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dognplasser,2016,1342,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dognplasser,2017,1335,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dognplasser,2018,1245,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dognplasser,2019,1255,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dognplasser,2020,1308,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dognplasser,2021,1301,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dognplasser,2022,1308,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dognplasser,2023,1303,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dognplasser,2024,1257,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dognplasser,2025,1279,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,utskrivninger,2015,70575,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,utskrivninger,2016,70331,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,utskrivninger,2017,69299,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,utskrivninger,2018,68084,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,utskrivninger,2019,67087,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,utskrivninger,2020,62282,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,utskrivninger,2021,66463,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,utskrivninger,2022,67598,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,utskrivninger,2023,67453,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,utskrivninger,2024,67572,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,utskrivninger,2025,75158,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,liggedager,2015,409112,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,liggedager,2016,385546,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,liggedager,2017,373485,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,liggedager,2018,359538,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,liggedager,2019,348721,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,liggedager,2020,338413,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,liggedager,2021,357256,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,liggedager,2022,365098,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,liggedager,2023,362044,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,liggedager,2024,352327,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,liggedager,2025,347999,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,polikliniske_konsultasjoner,2015,766335,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,polikliniske_konsultasjoner,2016,787835,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,polikliniske_konsultasjoner,2017,809675,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,polikliniske_konsultasjoner,2018,832099,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,polikliniske_konsultasjoner,2019,848507,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,polikliniske_konsultasjoner,2020,804853,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,polikliniske_konsultasjoner,2021,861243,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,polikliniske_konsultasjoner,2022,887099,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,polikliniske_konsultasjoner,2023,936744,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,polikliniske_konsultasjoner,2024,949562,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,polikliniske_konsultasjoner,2025,942040,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dagbehandlinger,2015,29091,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dagbehandlinger,2016,25490,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dagbehandlinger,2017,26129,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dagbehandlinger,2018,26926,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dagbehandlinger,2019,28313,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dagbehandlinger,2020,26157,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dagbehandlinger,2021,27166,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dagbehandlinger,2022,28104,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,TOT,dagbehandlinger,2023,28193,antall,ssb_13942,ekte
