helseforetak,helseregion,tjenesteomrade_kode,tjenesteomrade,period,dognplasser,source_id,last_updated
Helse Bergen HF,Helse Vest,TOT,I alt,2024,1257,ssb_13942,2026-06-18
Helse Bergen HF,Helse Vest,TOT,I alt,2025,1279,ssb_13942,2026-06-18
Helse Bergen HF,Helse Vest,SOM,Somatisk,2024,922,ssb_13942,2026-06-18
Helse Bergen HF,Helse Vest,SOM,Somatisk,2025,943,ssb_13942,2026-06-18
Helse Bergen HF,Helse Vest,VOP,Psykisk helsevern voksne,2024,207,ssb_13942,2026-06-18
Helse Bergen HF,Helse Vest,VOP,Psykisk helsevern voksne,2025,212,ssb_13942,2026-06-18
Helse Bergen HF,Helse Vest,BUP,Psykisk helsevern barn og unge,2024,24,ssb_13942,2026-06-18
Helse Bergen HF,Helse Vest,BUP,Psykisk helsevern barn og unge,2025,23,ssb_13942,2026-06-18
Helse Bergen HF,Helse Vest,TSB,Rusbehandling (TSB),2024,104,ssb_13942,2026-06-18
Helse Bergen HF,Helse Vest,TSB,Rusbehandling (TSB),2025,101,ssb_13942,2026-06-18
Helse FÃ¸rde HF,,TOT,I alt,2024,266,ssb_13942,2026-06-18
Helse FÃ¸rde HF,,TOT,I alt,2025,262,ssb_13942,2026-06-18
Helse FÃ¸rde HF,,SOM,Somatisk,2024,184,ssb_13942,2026-06-18
Helse FÃ¸rde HF,,SOM,Somatisk,2025,180,ssb_13942,2026-06-18
Helse FÃ¸rde HF,,VOP,Psykisk helsevern voksne,2024,66,ssb_13942,2026-06-18
Helse FÃ¸rde HF,,VOP,Psykisk helsevern voksne,2025,66,ssb_13942,2026-06-18
Helse FÃ¸rde HF,,BUP,Psykisk helsevern barn og unge,2024,6,ssb_13942,2026-06-18
Helse FÃ¸rde HF,,BUP,Psykisk helsevern barn og unge,2025,6,ssb_13942,2026-06-18
Helse FÃ¸rde HF,,TSB,Rusbehandling (TSB),2024,10,ssb_13942,2026-06-18
Helse FÃ¸rde HF,,TSB,Rusbehandling (TSB),2025,10,ssb_13942,2026-06-18
Helse Stavanger HF,Helse Vest,TOT,I alt,2024,830,ssb_13942,2026-06-18
Helse Stavanger HF,Helse Vest,TOT,I alt,2025,824,ssb_13942,2026-06-18
Helse Stavanger HF,Helse Vest,SOM,Somatisk,2024,563,ssb_13942,2026-06-18
Helse Stavanger HF,Helse Vest,SOM,Somatisk,2025,553,ssb_13942,2026-06-18
Helse Stavanger HF,Helse Vest,VOP,Psykisk helsevern voksne,2024,210,ssb_13942,2026-06-18
Helse Stavanger HF,Helse Vest,VOP,Psykisk helsevern voksne,2025,213,ssb_13942,2026-06-18
Helse Stavanger HF,Helse Vest,BUP,Psykisk helsevern barn og unge,2024,16,ssb_13942,2026-06-18
Helse Stavanger HF,Helse Vest,BUP,Psykisk helsevern barn og unge,2025,16,ssb_13942,2026-06-18
Helse Stavanger HF,Helse Vest,TSB,Rusbehandling (TSB),2024,41,ssb_13942,2026-06-18
Helse Stavanger HF,Helse Vest,TSB,Rusbehandling (TSB),2025,42,ssb_13942,2026-06-18
Helse Fonna HF,Helse Vest,TOT,I alt,2024,462,ssb_13942,2026-06-18
Helse Fonna HF,Helse Vest,TOT,I alt,2025,459,ssb_13942,2026-06-18
Helse Fonna HF,Helse Vest,SOM,Somatisk,2024,331,ssb_13942,2026-06-18
Helse Fonna HF,Helse Vest,SOM,Somatisk,2025,327,ssb_13942,2026-06-18
Helse Fonna HF,Helse Vest,VOP,Psykisk helsevern voksne,2024,109,ssb_13942,2026-06-18
Helse Fonna HF,Helse Vest,VOP,Psykisk helsevern voksne,2025,109,ssb_13942,2026-06-18
Helse Fonna HF,Helse Vest,BUP,Psykisk helsevern barn og unge,2024,10,ssb_13942,2026-06-18
Helse Fonna HF,Helse Vest,BUP,Psykisk helsevern barn og unge,2025,10,ssb_13942,2026-06-18
Helse Fonna HF,Helse Vest,TSB,Rusbehandling (TSB),2024,12,ssb_13942,2026-06-18
Helse Fonna HF,Helse Vest,TSB,Rusbehandling (TSB),2025,13,ssb_13942,2026-06-18
St. Olavs hospital HF,Helse Midt-Norge,TOT,I alt,2024,993,ssb_13942,2026-06-18
St. Olavs hospital HF,Helse Midt-Norge,TOT,I alt,2025,1000,ssb_13942,2026-06-18
St. Olavs hospital HF,Helse Midt-Norge,SOM,Somatisk,2024,752,ssb_13942,2026-06-18
St. Olavs hospital HF,Helse Midt-Norge,SOM,Somatisk,2025,768,ssb_13942,2026-06-18
St. Olavs hospital HF,Helse Midt-Norge,VOP,Psykisk helsevern voksne,2024,193,ssb_13942,2026-06-18
St. Olavs hospital HF,Helse Midt-Norge,VOP,Psykisk helsevern voksne,2025,184,ssb_13942,2026-06-18
St. Olavs hospital HF,Helse Midt-Norge,BUP,Psykisk helsevern barn og unge,2024,14,ssb_13942,2026-06-18
St. Olavs hospital HF,Helse Midt-Norge,BUP,Psykisk helsevern barn og unge,2025,14,ssb_13942,2026-06-18
St. Olavs hospital HF,Helse Midt-Norge,TSB,Rusbehandling (TSB),2024,34,ssb_13942,2026-06-18
St. Olavs hospital HF,Helse Midt-Norge,TSB,Rusbehandling (TSB),2025,34,ssb_13942,2026-06-18
Oslo universitetssykehus HF,Helse Sør-Øst,TOT,I alt,2024,1731,ssb_13942,2026-06-18
Oslo universitetssykehus HF,Helse Sør-Øst,TOT,I alt,2025,1746,ssb_13942,2026-06-18
Oslo universitetssykehus HF,Helse Sør-Øst,SOM,Somatisk,2024,1379,ssb_13942,2026-06-18
Oslo universitetssykehus HF,Helse Sør-Øst,SOM,Somatisk,2025,1412,ssb_13942,2026-06-18
Oslo universitetssykehus HF,Helse Sør-Øst,VOP,Psykisk helsevern voksne,2024,240,ssb_13942,2026-06-18
Oslo universitetssykehus HF,Helse Sør-Øst,VOP,Psykisk helsevern voksne,2025,222,ssb_13942,2026-06-18
Oslo universitetssykehus HF,Helse Sør-Øst,BUP,Psykisk helsevern barn og unge,2024,40,ssb_13942,2026-06-18
Oslo universitetssykehus HF,Helse Sør-Øst,BUP,Psykisk helsevern barn og unge,2025,40,ssb_13942,2026-06-18
Oslo universitetssykehus HF,Helse Sør-Øst,TSB,Rusbehandling (TSB),2024,72,ssb_13942,2026-06-18
Oslo universitetssykehus HF,Helse Sør-Øst,TSB,Rusbehandling (TSB),2025,72,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,TOT,I alt,2024,935,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,TOT,I alt,2025,964,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,SOM,Somatisk,2024,665,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,SOM,Somatisk,2025,691,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,VOP,Psykisk helsevern voksne,2024,206,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,VOP,Psykisk helsevern voksne,2025,206,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,BUP,Psykisk helsevern barn og unge,2024,15,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,BUP,Psykisk helsevern barn og unge,2025,19,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,TSB,Rusbehandling (TSB),2024,49,ssb_13942,2026-06-18
Vestre Viken HF,Helse Sør-Øst,TSB,Rusbehandling (TSB),2025,48,ssb_13942,2026-06-18
Helse Nord-TrÃ¸ndelag HF,,TOT,I alt,2024,377,ssb_13942,2026-06-18
Helse Nord-TrÃ¸ndelag HF,,TOT,I alt,2025,377,ssb_13942,2026-06-18
