hf_id,hf_navn,helseregion,yrkesgruppe_kode,yrkesgruppe,metric,period,value,unit,source_id,quality
983974724,Helse Bergen HF,H03,TOT,I alt,arsverk,2015,9661,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,TOT,I alt,arsverk,2016,9816,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,TOT,I alt,arsverk,2017,9945,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,TOT,I alt,arsverk,2018,10013,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,TOT,I alt,arsverk,2019,10498,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,TOT,I alt,arsverk,2020,10671,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,TOT,I alt,arsverk,2021,11040,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,TOT,I alt,arsverk,2022,11431,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,TOT,I alt,arsverk,2023,11569,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,TOT,I alt,arsverk,2024,11499,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,TOT,I alt,arsverk,2025,11854,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,01,Spesialsykepleiere,arsverk,2015,1252,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,01,Spesialsykepleiere,arsverk,2016,1251,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,01,Spesialsykepleiere,arsverk,2017,1309,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,01,Spesialsykepleiere,arsverk,2018,1349,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,01,Spesialsykepleiere,arsverk,2019,1391,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,01,Spesialsykepleiere,arsverk,2020,1444,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,01,Spesialsykepleiere,arsverk,2021,1430,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,01,Spesialsykepleiere,arsverk,2022,1486,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,01,Spesialsykepleiere,arsverk,2023,1542,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,01,Spesialsykepleiere,arsverk,2024,1520,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,01,Spesialsykepleiere,arsverk,2025,1607,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,02,Sykepleiere,arsverk,2015,1865,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,02,Sykepleiere,arsverk,2016,1934,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,02,Sykepleiere,arsverk,2017,1949,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,02,Sykepleiere,arsverk,2018,1930,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,02,Sykepleiere,arsverk,2019,2049,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,02,Sykepleiere,arsverk,2020,2081,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,02,Sykepleiere,arsverk,2021,2211,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,02,Sykepleiere,arsverk,2022,2335,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,02,Sykepleiere,arsverk,2023,2332,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,02,Sykepleiere,arsverk,2024,2269,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,02,Sykepleiere,arsverk,2025,2299,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,03,Jordmødre,arsverk,2015,191,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,03,Jordmødre,arsverk,2016,185,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,03,Jordmødre,arsverk,2017,182,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,03,Jordmødre,arsverk,2018,177,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,03,Jordmødre,arsverk,2019,186,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,03,Jordmødre,arsverk,2020,188,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,03,Jordmødre,arsverk,2021,182,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,03,Jordmødre,arsverk,2022,172,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,03,Jordmødre,arsverk,2023,172,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,03,Jordmødre,arsverk,2024,169,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,03,Jordmødre,arsverk,2025,194,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,04,Helsefagarbeidere mv.,arsverk,2015,298,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,04,Helsefagarbeidere mv.,arsverk,2016,288,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,04,Helsefagarbeidere mv.,arsverk,2017,271,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,04,Helsefagarbeidere mv.,arsverk,2018,245,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,04,Helsefagarbeidere mv.,arsverk,2019,238,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,04,Helsefagarbeidere mv.,arsverk,2020,238,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,04,Helsefagarbeidere mv.,arsverk,2021,244,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,04,Helsefagarbeidere mv.,arsverk,2022,275,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,04,Helsefagarbeidere mv.,arsverk,2023,274,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,04,Helsefagarbeidere mv.,arsverk,2024,250,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,04,Helsefagarbeidere mv.,arsverk,2025,271,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,05,Legespesialister,arsverk,2015,1046,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,05,Legespesialister,arsverk,2016,1115,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,05,Legespesialister,arsverk,2017,1145,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,05,Legespesialister,arsverk,2018,1159,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,05,Legespesialister,arsverk,2019,1231,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,05,Legespesialister,arsverk,2020,1269,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,05,Legespesialister,arsverk,2021,1311,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,05,Legespesialister,arsverk,2022,1332,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,05,Legespesialister,arsverk,2023,1350,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,05,Legespesialister,arsverk,2024,1350,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,05,Legespesialister,arsverk,2025,1400,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,06,Andre leger,arsverk,2015,184,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,06,Andre leger,arsverk,2016,187,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,06,Andre leger,arsverk,2017,189,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,06,Andre leger,arsverk,2018,227,arsverk,ssb_13953,ekte
983974724,Helse Bergen HF,H03,06,Andre leger,arsverk,2019,234,arsverk,ssb_13953,ekte
