site_id,site_navn,hf_id,source_id,municipality_code,kategori,senger,period,quality,source_url,source_note,last_verified
hammerfest,Hammerfest sykehus,983974880,curated_helse_nord,5603,somatikk,89,2024,ekte,https://kunnskapsbanken.sykehusbygg.no/eksempler/sengeomrader-nye-hammerfest-sykehus,"«Total kapasitet er på 89 senger» (57 enkeltrom, 8 dobbeltrom, 14 pasienthotell, 4 barn, 6 intensiv, 7 isolasjon) – Sengeområder, Nye Hammerfest sykehus (2024), sykehusbygg.no, lest 2026-09-02",2026-09-02
kirkenes,Kirkenes sykehus,983974880,ssb_13942,5605,somatikk,48,2025,estimat,https://www.ssb.no/statbank/table/13942,"Estimat: HF-ets SSB-døgnplasser fordelt etter opptaksbefolkning; UNN Tromsø/NLSH Bodø har regionfunksjoner, så estimatet undervurderer dem",2026-09-02
harstad,UNN Harstad,983974899,ssb_13942,5503,somatikk,112,2025,estimat,https://www.ssb.no/statbank/table/13942,"Estimat: HF-ets SSB-døgnplasser fordelt etter opptaksbefolkning; UNN Tromsø/NLSH Bodø har regionfunksjoner, så estimatet undervurderer dem",2026-09-02
narvik,UNN Narvik,983974899,curated_helse_nord,1806,somatikk,48,2024,ekte,https://kunnskapsbanken.sykehusbygg.no/eksempler/sengeomrader-nye-unn-narvik,"«Det er planlagt med 48 somatiske senger plassert på plan 3 og 43 senger for VOP på plan 2» – Sengeområder, Nye UNN Narvik (2024), sykehusbygg.no, lest 2026-09-02",2026-09-02
narvik,UNN Narvik,983974899,curated_helse_nord,1806,psykisk_helsevern,43,2024,ekte,https://kunnskapsbanken.sykehusbygg.no/eksempler/sengeomrader-nye-unn-narvik,"«...og 43 senger for VOP på plan 2» (VOP = voksenpsykiatri) – samme side som somatikk-raden over, sykehusbygg.no, lest 2026-09-02",2026-09-02
tromso,UNN Tromsø,983974899,ssb_13942,5501,somatikk,403,2025,estimat,https://www.ssb.no/statbank/table/13942,"Estimat: HF-ets SSB-døgnplasser fordelt etter opptaksbefolkning; UNN Tromsø/NLSH Bodø har regionfunksjoner, så estimatet undervurderer dem",2026-09-02
bodo,Nordlandssykehuset Bodø,983974910,ssb_13942,1804,somatikk,180,2025,estimat,https://www.ssb.no/statbank/table/13942,"Estimat: HF-ets SSB-døgnplasser fordelt etter opptaksbefolkning; UNN Tromsø/NLSH Bodø har regionfunksjoner, så estimatet undervurderer dem",2026-09-02
lofoten,Nordlandssykehuset Lofoten,983974910,ssb_13942,1860,somatikk,50,2025,estimat,https://www.ssb.no/statbank/table/13942,"Estimat: HF-ets SSB-døgnplasser fordelt etter opptaksbefolkning; UNN Tromsø/NLSH Bodø har regionfunksjoner, så estimatet undervurderer dem",2026-09-02
vesteralen,Nordlandssykehuset Vesterålen,983974910,curated_helse_nord,1866,somatikk,61,2014,ekte,https://kunnskapsbanken.sykehusbygg.no/eksempler/sengeomr%C3%A5de5omrr,"«Nordlandssykehuset Vesterålen er et lite sykehus med totalt 61 senger, inkludert intensiv (total kapasitet 71 senger)» – Sengeområde, kunnskapsbanken.sykehusbygg.no; bygget tatt i bruk 2014, lest 2026-09-02",2026-09-02
mo-i-rana,Helgelandssykehuset Mo i Rana,983974929,ssb_13942,1833,somatikk,53,2025,estimat,https://www.ssb.no/statbank/table/13942,"Estimat: HF-ets SSB-døgnplasser fordelt etter opptaksbefolkning; UNN Tromsø/NLSH Bodø har regionfunksjoner, så estimatet undervurderer dem",2026-09-02
mosjoen,Helgelandssykehuset Mosjøen,983974929,ssb_13942,1824,somatikk,25,2025,estimat,https://www.ssb.no/statbank/table/13942,"Estimat: HF-ets SSB-døgnplasser fordelt etter opptaksbefolkning; UNN Tromsø/NLSH Bodø har regionfunksjoner, så estimatet undervurderer dem",2026-09-02
sandnessjoen,Helgelandssykehuset Sandnessjøen,983974929,ssb_13942,1820,somatikk,43,2025,estimat,https://www.ssb.no/statbank/table/13942,"Estimat: HF-ets SSB-døgnplasser fordelt etter opptaksbefolkning; UNN Tromsø/NLSH Bodø har regionfunksjoner, så estimatet undervurderer dem",2026-09-02
karasjok,SANKS Karasjok,983974880,curated_helse_nord,5610,psykisk_helsevern,6,2026,ekte,https://www.finnmarkssykehuset.no/avdelinger/sami-klinihkka/sanks/dognenheten/,"«Døgnenheten har en felles leder med to poster, én for psykisk helse og en for avhengighet. Begge postene har 6 sengeplasser.» – Døgnenhet psykisk helse og avhengighet, Karasjok, finnmarkssykehuset.no, lest 2026-09-02",2026-09-02
karasjok,SANKS Karasjok,983974880,curated_helse_nord,5610,tsb,6,2026,ekte,https://www.finnmarkssykehuset.no/avdelinger/sami-klinihkka/sanks/dognenheten/,"«...og en for avhengighet. Begge postene har 6 sengeplasser.» (avhengighetsposten = TSB) – samme side som psykisk_helsevern-raden over, finnmarkssykehuset.no, lest 2026-09-02",2026-09-02
