group_code,group_label,period,users,per_1000,source_id,last_updated
R03,Astma og KOLS,2010,423191,87.11,fhi_lmr_825,2026-02-16
R03,Astma og KOLS,2013,418291,82.81,fhi_lmr_825,2026-02-16
R03,Astma og KOLS,2016,448092,85.94,fhi_lmr_825,2026-02-16
R03,Astma og KOLS,2019,477371,89.59,fhi_lmr_825,2026-02-16
R03,Astma og KOLS,2022,508796,93.78,fhi_lmr_825,2026-02-16
R03,Astma og KOLS,2023,515011,93.83,fhi_lmr_825,2026-02-16
R03,Astma og KOLS,2024,535722,96.52,fhi_lmr_825,2026-02-16
R03,Astma og KOLS,2025,534730,95.58,fhi_lmr_825,2026-02-16
A10,Diabetes,2010,152057,31.3,fhi_lmr_825,2026-02-16
A10,Diabetes,2013,165308,32.73,fhi_lmr_825,2026-02-16
A10,Diabetes,2016,183446,35.18,fhi_lmr_825,2026-02-16
A10,Diabetes,2019,208031,39.04,fhi_lmr_825,2026-02-16
A10,Diabetes,2022,311416,57.4,fhi_lmr_825,2026-02-16
A10,Diabetes,2023,382194,69.63,fhi_lmr_825,2026-02-16
A10,Diabetes,2024,436019,78.56,fhi_lmr_825,2026-02-16
A10,Diabetes,2025,479173,85.65,fhi_lmr_825,2026-02-16
C10,Kolesterolsenkende,2010,478348,98.46,fhi_lmr_825,2026-02-16
C10,Kolesterolsenkende,2013,509922,100.95,fhi_lmr_825,2026-02-16
C10,Kolesterolsenkende,2016,546551,104.82,fhi_lmr_825,2026-02-16
C10,Kolesterolsenkende,2019,596733,111.99,fhi_lmr_825,2026-02-16
C10,Kolesterolsenkende,2022,682938,125.88,fhi_lmr_825,2026-02-16
C10,Kolesterolsenkende,2023,719300,131.04,fhi_lmr_825,2026-02-16
C10,Kolesterolsenkende,2024,752145,135.52,fhi_lmr_825,2026-02-16
C10,Kolesterolsenkende,2025,780538,139.52,fhi_lmr_825,2026-02-16
C09,Blodtrykk (RAAS-hemmere),2010,498485,102.61,fhi_lmr_825,2026-02-16
C09,Blodtrykk (RAAS-hemmere),2013,551993,109.28,fhi_lmr_825,2026-02-16
C09,Blodtrykk (RAAS-hemmere),2016,592053,113.55,fhi_lmr_825,2026-02-16
C09,Blodtrykk (RAAS-hemmere),2019,635932,119.35,fhi_lmr_825,2026-02-16
C09,Blodtrykk (RAAS-hemmere),2022,696958,128.47,fhi_lmr_825,2026-02-16
C09,Blodtrykk (RAAS-hemmere),2023,722891,131.7,fhi_lmr_825,2026-02-16
C09,Blodtrykk (RAAS-hemmere),2024,747347,134.65,fhi_lmr_825,2026-02-16
C09,Blodtrykk (RAAS-hemmere),2025,773504,138.27,fhi_lmr_825,2026-02-16
C07,Betablokkere,2010,361070,74.32,fhi_lmr_825,2026-02-16
C07,Betablokkere,2013,371813,73.61,fhi_lmr_825,2026-02-16
C07,Betablokkere,2016,375417,72,fhi_lmr_825,2026-02-16
C07,Betablokkere,2019,382265,71.74,fhi_lmr_825,2026-02-16
C07,Betablokkere,2022,387781,71.48,fhi_lmr_825,2026-02-16
C07,Betablokkere,2023,389991,71.05,fhi_lmr_825,2026-02-16
C07,Betablokkere,2024,392066,70.64,fhi_lmr_825,2026-02-16
C07,Betablokkere,2025,395312,70.66,fhi_lmr_825,2026-02-16
