municipality_code,metric,metric_label,period,value,unit,source_id,quality
3101,inst_plasser,Institusjon - alle disponible plasser (antall),2024,254,plasser,ssb_11875,ekte
3101,inst_plasser,Institusjon - alle disponible plasser (antall),2025,218,plasser,ssb_11875,ekte
3101,sykehjem_plasser,Sykehjem - disponible plasser (antall),2024,247,plasser,ssb_11875,ekte
3101,sykehjem_plasser,Sykehjem - disponible plasser (antall),2025,211,plasser,ssb_11875,ekte
3101,demens_plasser,Institusjon - demensplasser (antall),2024,115,plasser,ssb_11875,ekte
3101,demens_plasser,Institusjon - demensplasser (antall),2025,115,plasser,ssb_11875,ekte
3101,rehab_plasser,Institusjon - rehabiliteringsplasser (antall),2024,5,plasser,ssb_11875,ekte
3101,rehab_plasser,Institusjon - rehabiliteringsplasser (antall),2025,5,plasser,ssb_11875,ekte
3101,tidsbegrensede_plasser,Institusjon - tidsbegrensede plasser (antall),2024,21,plasser,ssb_11875,ekte
3101,tidsbegrensede_plasser,Institusjon - tidsbegrensede plasser (antall),2025,28,plasser,ssb_11875,ekte
3103,inst_plasser,Institusjon - alle disponible plasser (antall),2024,279,plasser,ssb_11875,ekte
3103,inst_plasser,Institusjon - alle disponible plasser (antall),2025,283.5,plasser,ssb_11875,ekte
3103,sykehjem_plasser,Sykehjem - disponible plasser (antall),2024,264,plasser,ssb_11875,ekte
3103,sykehjem_plasser,Sykehjem - disponible plasser (antall),2025,268,plasser,ssb_11875,ekte
3103,demens_plasser,Institusjon - demensplasser (antall),2024,144,plasser,ssb_11875,ekte
3103,demens_plasser,Institusjon - demensplasser (antall),2025,133,plasser,ssb_11875,ekte
3103,rehab_plasser,Institusjon - rehabiliteringsplasser (antall),2024,8,plasser,ssb_11875,ekte
3103,rehab_plasser,Institusjon - rehabiliteringsplasser (antall),2025,8,plasser,ssb_11875,ekte
3103,tidsbegrensede_plasser,Institusjon - tidsbegrensede plasser (antall),2024,59,plasser,ssb_11875,ekte
3103,tidsbegrensede_plasser,Institusjon - tidsbegrensede plasser (antall),2025,61,plasser,ssb_11875,ekte
3105,inst_plasser,Institusjon - alle disponible plasser (antall),2024,392,plasser,ssb_11875,ekte
3105,inst_plasser,Institusjon - alle disponible plasser (antall),2025,398.5,plasser,ssb_11875,ekte
3105,sykehjem_plasser,Sykehjem - disponible plasser (antall),2024,386,plasser,ssb_11875,ekte
3105,sykehjem_plasser,Sykehjem - disponible plasser (antall),2025,385,plasser,ssb_11875,ekte
3105,demens_plasser,Institusjon - demensplasser (antall),2024,76,plasser,ssb_11875,ekte
3105,demens_plasser,Institusjon - demensplasser (antall),2025,86,plasser,ssb_11875,ekte
3105,rehab_plasser,Institusjon - rehabiliteringsplasser (antall),2024,0,plasser,ssb_11875,ekte
3105,rehab_plasser,Institusjon - rehabiliteringsplasser (antall),2025,6,plasser,ssb_11875,ekte
3105,tidsbegrensede_plasser,Institusjon - tidsbegrensede plasser (antall),2024,0,plasser,ssb_11875,ekte
3105,tidsbegrensede_plasser,Institusjon - tidsbegrensede plasser (antall),2025,23,plasser,ssb_11875,ekte
3107,inst_plasser,Institusjon - alle disponible plasser (antall),2024,662,plasser,ssb_11875,ekte
3107,inst_plasser,Institusjon - alle disponible plasser (antall),2025,641,plasser,ssb_11875,ekte
3107,sykehjem_plasser,Sykehjem - disponible plasser (antall),2024,625,plasser,ssb_11875,ekte
3107,sykehjem_plasser,Sykehjem - disponible plasser (antall),2025,600,plasser,ssb_11875,ekte
3107,demens_plasser,Institusjon - demensplasser (antall),2024,177,plasser,ssb_11875,ekte
3107,demens_plasser,Institusjon - demensplasser (antall),2025,177,plasser,ssb_11875,ekte
