municipality_code,metric,metric_label,period,value,unit,source_id,quality
0301,npr_i00_i99_antall,Hjerte og karsykdom (I00-I99) – antall,2012,8235,personer,fhi_nokkel_699,ekte
0301,npr_i00_i99_rate,Hjerte og karsykdom (I00-I99) – per 1000,2012,13.3118016759777,rate,fhi_nokkel_699,ekte
0301,npr_j440_j449_antall,KOLS (J44) – antall,2012,700,personer,fhi_nokkel_699,ekte
0301,npr_j440_j449_rate,KOLS (J44) – per 1000,2012,1.13154355472791,rate,fhi_nokkel_699,ekte
0301,npr_m00_m99_antall,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99) – antall,2012,7717,personer,fhi_nokkel_699,ekte
0301,npr_m00_m99_rate,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99) – per 1000,2012,12.474459445479,rate,fhi_nokkel_699,ekte
0301,npr_s00_t78_antall,Personskader (S00-T78) – antall,2012,7363,personer,fhi_nokkel_699,ekte
0301,npr_s00_t78_rate,Personskader (S00-T78) – per 1000,2012,11.9022217049452,rate,fhi_nokkel_699,ekte
0301,npr_s00_s09_antall,Hodeskader (S00-S09) – antall,2012,1357,personer,fhi_nokkel_699,ekte
0301,npr_s00_s09_rate,Hodeskader (S00-S09) – per 1000,2012,2.19357800537968,rate,fhi_nokkel_699,ekte
0301,npr_s720_s722_antall,Hoftebrudd (S72.0-72.2) – antall,2012,1000,personer,fhi_nokkel_699,ekte
0301,npr_s720_s722_rate,Hoftebrudd (S72.0-72.2) – per 1000,2012,1.61649079246845,rate,fhi_nokkel_699,ekte
0301,npr_t36_t65_antall,Forgiftninger (T36-T65) – antall,2012,588,personer,fhi_nokkel_699,ekte
0301,npr_t36_t65_rate,Forgiftninger (T36-T65) – per 1000,2012,0.950496585971446,rate,fhi_nokkel_699,ekte
0301,npr_i00_i99_antall,Hjerte og karsykdom (I00-I99) – antall,2013,8248,personer,fhi_nokkel_699,ekte
0301,npr_i00_i99_rate,Hjerte og karsykdom (I00-I99) – per 1000,2013,13.1084073873059,rate,fhi_nokkel_699,ekte
0301,npr_j440_j449_antall,KOLS (J44) – antall,2013,693,personer,fhi_nokkel_699,ekte
0301,npr_j440_j449_rate,KOLS (J44) – per 1000,2013,1.10137322010221,rate,fhi_nokkel_699,ekte
0301,npr_m00_m99_antall,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99) – antall,2013,7529,personer,fhi_nokkel_699,ekte
0301,npr_m00_m99_rate,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99) – per 1000,2013,11.9657128054106,rate,fhi_nokkel_699,ekte
0301,npr_s00_t78_antall,Personskader (S00-T78) – antall,2013,7780,personer,fhi_nokkel_699,ekte
0301,npr_s00_t78_rate,Personskader (S00-T78) – per 1000,2013,12.3646228750291,rate,fhi_nokkel_699,ekte
0301,npr_s00_s09_antall,Hodeskader (S00-S09) – antall,2013,1436,personer,fhi_nokkel_699,ekte
0301,npr_s00_s09_rate,Hodeskader (S00-S09) – per 1000,2013,2.28221059749895,rate,fhi_nokkel_699,ekte
0301,npr_s720_s722_antall,Hoftebrudd (S72.0-72.2) – antall,2013,983,personer,fhi_nokkel_699,ekte
0301,npr_s720_s722_rate,Hoftebrudd (S72.0-72.2) – per 1000,2013,1.56226533241049,rate,fhi_nokkel_699,ekte
0301,npr_t36_t65_antall,Forgiftninger (T36-T65) – antall,2013,580,personer,fhi_nokkel_699,ekte
