municipality_code,aldersgruppe,period,value,unit,source_id,quality
3101,alle,2015,0,personer,ssb_07459,ekte
3103,alle,2015,0,personer,ssb_07459,ekte
3105,alle,2015,0,personer,ssb_07459,ekte
3107,alle,2015,0,personer,ssb_07459,ekte
3110,alle,2015,0,personer,ssb_07459,ekte
3112,alle,2015,0,personer,ssb_07459,ekte
3114,alle,2015,0,personer,ssb_07459,ekte
3116,alle,2015,0,personer,ssb_07459,ekte
3118,alle,2015,0,personer,ssb_07459,ekte
3120,alle,2015,0,personer,ssb_07459,ekte
3122,alle,2015,0,personer,ssb_07459,ekte
3124,alle,2015,0,personer,ssb_07459,ekte
3201,alle,2015,0,personer,ssb_07459,ekte
3203,alle,2015,0,personer,ssb_07459,ekte
3205,alle,2015,0,personer,ssb_07459,ekte
3207,alle,2015,0,personer,ssb_07459,ekte
3209,alle,2015,0,personer,ssb_07459,ekte
3212,alle,2015,0,personer,ssb_07459,ekte
3214,alle,2015,0,personer,ssb_07459,ekte
3216,alle,2015,0,personer,ssb_07459,ekte
3218,alle,2015,0,personer,ssb_07459,ekte
3220,alle,2015,0,personer,ssb_07459,ekte
3222,alle,2015,0,personer,ssb_07459,ekte
3224,alle,2015,0,personer,ssb_07459,ekte
3226,alle,2015,0,personer,ssb_07459,ekte
3228,alle,2015,0,personer,ssb_07459,ekte
3230,alle,2015,0,personer,ssb_07459,ekte
3232,alle,2015,0,personer,ssb_07459,ekte
3234,alle,2015,0,personer,ssb_07459,ekte
3236,alle,2015,0,personer,ssb_07459,ekte
3238,alle,2015,0,personer,ssb_07459,ekte
3240,alle,2015,0,personer,ssb_07459,ekte
3242,alle,2015,0,personer,ssb_07459,ekte
0301,0-17,2015,127639,personer,ssb_07459,ekte
0301,18-29,2015,128791,personer,ssb_07459,ekte
0301,30-49,2015,213064,personer,ssb_07459,ekte
0301,50-66,2015,110058,personer,ssb_07459,ekte
0301,67-79,2015,46553,personer,ssb_07459,ekte
0301,80-89,2015,16528,personer,ssb_07459,ekte
0301,90+,2015,5043,personer,ssb_07459,ekte
0301,alle,2015,647676,personer,ssb_07459,ekte
3301,alle,2015,0,personer,ssb_07459,ekte
3303,alle,2015,0,personer,ssb_07459,ekte
3305,alle,2015,0,personer,ssb_07459,ekte
3310,alle,2015,0,personer,ssb_07459,ekte
3312,alle,2015,0,personer,ssb_07459,ekte
3314,alle,2015,0,personer,ssb_07459,ekte
3316,alle,2015,0,personer,ssb_07459,ekte
3318,alle,2015,0,personer,ssb_07459,ekte
3320,alle,2015,0,personer,ssb_07459,ekte
3322,alle,2015,0,personer,ssb_07459,ekte
3324,alle,2015,0,personer,ssb_07459,ekte
3326,alle,2015,0,personer,ssb_07459,ekte
3328,alle,2015,0,personer,ssb_07459,ekte
3330,alle,2015,0,personer,ssb_07459,ekte
3332,alle,2015,0,personer,ssb_07459,ekte
