municipality_code,municipality_name,lokalsykehus_id,dps_id,hf_id,helseregion,quality,note
0301,Oslo,S49,D47,993467049,H12,avledet,"Delt lokalsykehus: S49 Oslo universitetssykehus (236), S34 Lovisenberg (150), S35 Diakonhjemmet (121), S36 Akershus (85); Delt DPS: D47 Lovisenberg (150), D68 Nydalen (124), D48 Vindern (121), D69 Søndre Oslo (112), D50 Groruddalen (85)"
1101,Eigersund,S12,D15,983974678,H03,ekte,
1103,Stavanger,S12,D19,983974678,H03,avledet,"Delt DPS: D19 Stavanger (152), D18 Sola (96)"
1106,Haugesund,S13,D21,983974694,H03,ekte,
1108,Sandnes,S12,D17,983974678,H03,ekte,
1111,Sokndal,S12,D15,983974678,H03,ekte,
1112,Lund,S12,D15,983974678,H03,ekte,
1114,Bjerkreim,S12,D15,983974678,H03,ekte,
1119,Hå,S12,D16,983974678,H03,ekte,
1120,Klepp,S12,D16,983974678,H03,ekte,
1121,Time,S12,D16,983974678,H03,ekte,
1122,Gjesdal,S12,D16,983974678,H03,ekte,
1124,Sola,S12,D18,983974678,H03,ekte,
1127,Randaberg,S12,D18,983974678,H03,ekte,
1130,Strand,S12,D17,983974678,H03,ekte,
1133,Hjelmeland,S12,D17,983974678,H03,ekte,
1134,Suldal,S13,D21,983974694,H03,ekte,
1135,Sauda,S13,D21,983974694,H03,ekte,
1144,Kvitsøy,S12,D18,983974678,H03,ekte,
1145,Bokn,S13,D21,983974694,H03,ekte,
1146,Tysvær,S13,D21,983974694,H03,ekte,
1149,Karmøy,S13,D22,983974694,H03,ekte,
1151,Utsira,S13,D21,983974694,H03,ekte,
1160,Vindafjord,S13,D21,983974694,H03,ekte,
1505,Kristiansund,S50,D38,997005562,H04,ekte,
1506,Molde,S50,D39,997005562,H04,ekte,
1508,Ålesund,S29,D40,997005562,H04,ekte,
1511,Vanylven,S28,D41,997005562,H04,ekte,
1514,Sande,S28,D41,997005562,H04,ekte,
1515,Herøy,S28,D41,997005562,H04,ekte,
1516,Ulstein,S28,D41,997005562,H04,ekte,
1517,Hareid,S28,D41,997005562,H04,ekte,
1520,Ørsta,S28,D41,997005562,H04,ekte,
1525,Stranda,S29,D40,997005562,H04,ekte,
1528,Sykkylven,S29,D40,997005562,H04,ekte,
1531,Sula,S29,D40,997005562,H04,ekte,
1532,Giske,S29,D40,997005562,H04,ekte,
1535,Vestnes,S29,D39,997005562,H04,ekte,
1539,Rauma,S50,D39,997005562,H04,ekte,
1547,Aukra,S50,D39,997005562,H04,ekte,
1554,Averøy,S50,D38,997005562,H04,ekte,
1557,Gjemnes,S50,D39,997005562,H04,ekte,
1560,Tingvoll,S50,D38,997005562,H04,ekte,
1563,Sunndal,S50,D39,997005562,H04,ekte,
1566,Surnadal,S50,D38,997005562,H04,ekte,
1573,Smøla,S50,D38,997005562,H04,ekte,
1576,Aure,S50,D38,997005562,H04,ekte,
1577,Volda,S28,D41,997005562,H04,ekte,
1578,Fjord,S29,D40,997005562,H04,ekte,
1579,Hustadvika,S50,D39,997005562,H04,ekte,
1580,Haram,S29,D40,997005562,H04,ekte,
1804,Bodø,S06,D10,983974910,H05,ekte,
1806,Narvik,S04,D06,983974899,H05,ekte,
1811,Bindal,S11,D14,983974929,H05,ekte,
1812,Sømna,S11,D14,983974929,H05,ekte,
1813,Brønnøy,S11,D14,983974929,H05,ekte,
1815,Vega,S11,D14,983974929,H05,ekte,
1816,Vevelstad,S11,D14,983974929,H05,ekte,
1818,Herøy,S11,D14,983974929,H05,ekte,
1820,Alstahaug,S11,D14,983974929,H05,ekte,
1822,Leirfjord,S11,D14,983974929,H05,ekte,
1824,Vefsn,S10,D13,983974929,H05,ekte,
1825,Grane,S10,D13,983974929,H05,ekte,
1826,Hattfjelldal,S10,D13,983974929,H05,ekte,
1827,Dønna,S11,D14,983974929,H05,ekte,
1828,Nesna,S09,D12,983974929,H05,ekte,
1832,Hemnes,S09,D12,983974929,H05,ekte,
1833,Rana,S09,D12,983974929,H05,ekte,
1834,Lurøy,S11,D14,983974929,H05,avledet,"Delt lokalsykehus: S11 Sandnessjøen (8), S09 Mo i Rana (7)"
1835,Træna,S11,D14,983974929,H05,ekte,
1836,Rødøy,S09,D12,983974929,H05,ekte,
1837,Meløy,S06,D10,983974910,H05,ekte,
1838,Gildeskål,S06,D10,983974910,H05,ekte,
1839,Beiarn,S06,D10,983974910,H05,ekte,
1840,Saltdal,S06,D10,983974910,H05,ekte,
1841,Fauske,S06,D10,983974910,H05,ekte,
1845,Sørfold,S06,D10,983974910,H05,ekte,
1848,Steigen,S06,D10,983974910,H05,ekte,
1851,Lødingen,S03,D06,983974899,H05,ekte,
1853,Evenes,S03,D06,983974899,H05,ekte,
1856,Røst,S06,D10,983974910,H05,ekte,
1857,Værøy,S06,D09,983974910,H05,ekte,
1859,Flakstad,S07,D09,983974910,H05,ekte,
1860,Vestvågøy,S07,D09,983974910,H05,ekte,
1865,Vågan,S07,D09,983974910,H05,ekte,
1866,Hadsel,S08,D11,983974910,H05,ekte,
1867,Bø,S08,D11,983974910,H05,ekte,
1868,Øksnes,S08,D11,983974910,H05,ekte,
1870,Sortland,S08,D11,983974910,H05,ekte,
1871,Andøy,S08,D11,983974910,H05,ekte,
1874,Moskenes,S07,D09,983974910,H05,ekte,
1875,Hamarøy,S06,D10,983974910,H05,ekte,
3101,Halden,S42,D59,983971768,H12,ekte,
3103,Moss,S42,D60,983971768,H12,ekte,
3105,Sarpsborg,S42,D59,983971768,H12,ekte,
3107,Fredrikstad,S42,D58,983971768,H12,ekte,
3110,Hvaler,S42,D58,983971768,H12,ekte,
3112,Råde,S42,D60,983971768,H12,ekte,
3114,Våler,S42,D60,983971768,H12,ekte,
3116,Skiptvet,S42,D60,983971768,H12,ekte,
3118,Indre Østfold,S42,D60,983971768,H12,ekte,
3120,Rakkestad,S42,D59,983971768,H12,ekte,
3122,Marker,S42,D59,983971768,H12,ekte,
3124,Aremark,S42,D60,983971768,H12,ekte,
3201,Bærum,S30,D43,894166762,H12,ekte,
3203,Asker,S30,D42,894166762,H12,avledet,"Delt lokalsykehus: S30 Bærum (99), S31 Drammen (51)"
3205,Lillestrøm,S36,D52,983971636,H12,ekte,
3207,Nordre Follo,S36,D49,983971636,H12,ekte,
3209,Ullensaker,S36,D53,983971636,H12,ekte,
3212,Nesodden,S36,D49,983971636,H12,ekte,
3214,Frogn,S36,D49,983971636,H12,ekte,
3216,Vestby,S42,D60,983971768,H12,ekte,
3218,Ås,S36,D49,983971636,H12,ekte,
3220,Enebakk,S36,D52,983971636,H12,ekte,
3222,Lørenskog,S36,D52,983971636,H12,ekte,
3224,Rælingen,S36,D52,983971636,H12,ekte,
3226,Aurskog-Høland,S36,D52,983971636,H12,ekte,
3228,Nes,S37,D53,983971636,H12,ekte,
3230,Gjerdrum,S36,D53,983971636,H12,ekte,
3232,Nittedal,S36,D50,983971636,H12,ekte,
3234,Lunner,S39,D55,983971709,H12,ekte,
3236,Jevnaker,S33,D46,894166762,H12,ekte,
3238,Nannestad,S36,D53,983971636,H12,ekte,
3240,Eidsvoll,S36,D53,983971636,H12,ekte,
3242,Hurdal,S36,D53,983971636,H12,ekte,
3301,Drammen,S31,D44,894166762,H12,ekte,
3303,Kongsberg,S32,D45,894166762,H12,ekte,
3305,Ringerike,S33,D46,894166762,H12,ekte,
3310,Hole,S33,D46,894166762,H12,ekte,
3312,Lier,S31,D44,894166762,H12,ekte,
3314,Øvre Eiker,S32,D45,894166762,H12,ekte,
3316,Modum,S33,D46,894166762,H12,ekte,
3318,Krødsherad,S33,D46,894166762,H12,ekte,
3320,Flå,S33,D46,894166762,H12,ekte,
3322,Nesbyen,S33,D46,894166762,H12,ekte,
3324,Gol,S33,D46,894166762,H12,ekte,
3326,Hemsedal,S33,D46,894166762,H12,ekte,
3328,Ål,S33,D46,894166762,H12,ekte,
3330,Hol,S33,D46,894166762,H12,ekte,
3332,Sigdal,S33,D45,894166762,H12,ekte,
3334,Flesberg,S32,D45,894166762,H12,ekte,
