region_id,region_navn,region_type,tjenesteomrade,aldersgruppe,diagnose_kode,diagnose_navn,metric,period,value,unit,source_id,quality
0,Hele landet,land,SOM,alle,_T,I alt,pasienter,2015,2336748,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,_T,I alt,pasienter_dogn,2015,567420,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,_T,I alt,dognopphold,2015,897840,antall,ssb_14824,ekte
0,Hele landet,land,SOM,alle,_T,I alt,oppholdsdogn,2015,3940758,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,alle,I,(A00-B99) Visse infeksjonssykdommer og parasittsykdommer,pasienter,2015,59688,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,I,(A00-B99) Visse infeksjonssykdommer og parasittsykdommer,pasienter_dogn,2015,18402,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,I,(A00-B99) Visse infeksjonssykdommer og parasittsykdommer,dognopphold,2015,20568,antall,ssb_14824,ekte
0,Hele landet,land,SOM,alle,I,(A00-B99) Visse infeksjonssykdommer og parasittsykdommer,oppholdsdogn,2015,106842,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,alle,II,(C00-D48) Svulster,pasienter,2015,239193,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,II,(C00-D48) Svulster,pasienter_dogn,2015,44853,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,II,(C00-D48) Svulster,dognopphold,2015,83394,antall,ssb_14824,ekte
0,Hele landet,land,SOM,alle,II,(C00-D48) Svulster,oppholdsdogn,2015,464478,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,alle,III,(D50-D89) Sykdommer i blod og bloddannende organer og visse tilstander som angår immunsystemet,pasienter,2015,20436,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,III,(D50-D89) Sykdommer i blod og bloddannende organer og visse tilstander som angår immunsystemet,pasienter_dogn,2015,6126,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,III,(D50-D89) Sykdommer i blod og bloddannende organer og visse tilstander som angår immunsystemet,dognopphold,2015,7944,antall,ssb_14824,ekte
0,Hele landet,land,SOM,alle,III,(D50-D89) Sykdommer i blod og bloddannende organer og visse tilstander som angår immunsystemet,oppholdsdogn,2015,28536,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,alle,IV,"(E00-E90) Endokrine sykdommer, ernæringssykdommer og metabolske forstyrrelser",pasienter,2015,161025,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,IV,"(E00-E90) Endokrine sykdommer, ernæringssykdommer og metabolske forstyrrelser",pasienter_dogn,2015,16365,personer,ssb_14824,ekte
0,Hele landet,land,SOM,alle,IV,"(E00-E90) Endokrine sykdommer, ernæringssykdommer og metabolske forstyrrelser",dognopphold,2015,19620,antall,ssb_14824,ekte
0,Hele landet,land,SOM,alle,IV,"(E00-E90) Endokrine sykdommer, ernæringssykdommer og metabolske forstyrrelser",oppholdsdogn,2015,88188,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,alle,V,(F00-F99) Psykiske lidelser og atferdsforstyrrelser,pasienter,2015,36927,personer,ssb_14824,ekte
