helseregion,helseforetak
Helse Sør-Øst,Oslo universitetssykehus HF
Helse Sør-Øst,Akershus universitetssykehus HF
Helse Sør-Øst,Sykehuset Østfold HF
Helse Sør-Øst,Sykehuset Innlandet HF
Helse Sør-Øst,Vestre Viken HF
Helse Sør-Øst,Sykehuset i Vestfold HF
Helse Sør-Øst,Sykehuset Telemark HF
Helse Sør-Øst,Sørlandet sykehus HF
Helse Sør-Øst,Sunnaas sykehus HF
Helse Vest,Helse Stavanger HF
Helse Vest,Helse Fonna HF
Helse Vest,Helse Bergen HF
Helse Vest,Helse Førde HF
Helse Midt-Norge,St. Olavs hospital HF
Helse Midt-Norge,Helse Nord-Trøndelag HF
Helse Midt-Norge,Helse Møre og Romsdal HF
Helse Nord,Universitetssykehuset Nord-Norge HF
Helse Nord,Nordlandssykehuset HF
Helse Nord,Helgelandssykehuset HF
Helse Nord,Finnmarkssykehuset HF
